Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline-Short-Term Base,Baseline-Short-Term Low,Baseline-Short-Term High,Baseline-Long-Term Base,Baseline-Long-Term Low,Baseline-Long-Term High,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline Short-Term,Baseline Short-Term,Baseline Short-Term,Baseline-LongTerm,Baseline-LongTerm,Baseline-LongTerm,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# ,,,,,Base,Low ,High,Base,Low,High,Low,High,Low,High,Low,High
General,Land Use,,,Baseline,Short term baseline,Short term baseline,Short term baseline,Long term baseline,Long term baseline,Long term baseline,Short term,Short term,Long Term,Long Term,Long Term,Long Term
Freight,Market Penetration,Powertrains,Diesel-Conventional_48V,0,0,0.2,0.16,0,0.12,0.1,0.2,0.16,0.12,0.1,0.12,0.1
Freight,Market Penetration,Powertrains,Diesel-HEV,0.025,0.025,0.05,0.13,0.025,0.2,0.22,0.05,0.13,0.2,0.22,0.2,0.22
Freight,Market Penetration,Powertrains,Diesel-PHEV,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0.04
Freight,Market Penetration,Powertrains,BEV-BEV,0,0,0,0.02,0,0.11,0.15,0,0.02,0.11,0.15,0.11,0.15
Freight,Market Penetration,Partial Automation (%),0,0,0,0,0,0,0,0,5,0,20,40,20,40
Freight,Market Penetration,Full Automation (%),0,0,0,0,0,0,0,0,0,0,2,15,2,15
#,,,,,,,,,,,,,,,,
#,Notes,,,"Main 7 scenarios - Columns D, K-P",,,,,,,,,,,,
#,,,,Additional scenarios,Columns,,Purpose,,,,,,Priority,,,
#,,,,,D vs E vs H,,"Impact of land use (population) - no change in vehicle fleet / technology, no vehicle retired, no CAVs",,,,,,3,,,
#,,,,,"E vs F vs G,  H vs I vs J",,"Impact of vehicle fleet / technology - no changes in land use, no vehicle retired, no CAVs",,,,,,2,,,`
#,,,,,"F vs K, G vs L, I vs M vs O, J vs N vs P ",,"Impact of automation, connectivity and sharing - no changes on vehicle technology & electrification",,,,,,1,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# Source:,"""='[SMART FY19 Scenario - All Common Assumptions - 190821_v4(20190905)PLrev.xlsx]Basic_Reformatted'",,,,,,,,,,,,,,,
